V1;CORRELA_16;CORRE_9;IDOJ1;IDAIO;CIMREP;BRUTA;CONSUI;GAS;EMPAQUE;HONORA;COMISION;ARRIENDO;SEGURO;ASEO;ENERGIA;COMUNICA;PUBLICO;FLETES;PUBLICI;ADECUA;REGALA;OUTSOURCING;OTROS;SUELDOS;PRESTAC;VENTA;AGREGA;PERREMUN;SOCIOS;PERSONOM;DIRECTO;AGENCIA;APRENDIZ;TOTPERSO;PROMUJ;PROHOM;PERMUJ;PERHOM;DIRMUJ;DIRHOM;AGEMUJ;AGEHOM;APRENMUJ;APRENHOM;TOTMUJ;TOTHOM;SUEPLAN;PREPLAN;REMPLAN;COTIZA;GASAGEN;REMTEMP;TOTREM;INVINI;INVFIN;ROTACION;INVPRO;CTO;CTOINS;VENTASNOP;GASTOS;GASTOSNOP;GASTOPNOP
1228076;465;464-465;14;2009;0;2529032;479928;0;0;164442;6145;140400;78199;4410;7300;34416;850;14179;0;7050;0;0;22537;1138465;437625;15529325;2049104;20;0;20;0;0;0;20;0;0;10;10;0;0;0;0;0;0;10;10;1138465;242092;1380557;164473,16;0;0;1545030,16;2830186;2843773;12991381;2836979,5;12991381;12991381;0;13824859;105;15439914
1228085;4711-472;471-472;14;2012;0;1535410;317245,5;0;1995;32192;0;103609;0;74146;19568;4380;1575;62221;0;0;0;0;17559,5;460238;187617;24850308;1218164,5;26;0;26;0;0;1;27;0;0;6;20;0;0;0;0;1;0;7;20;449704;109016;558720;67604,84;0;0;626324,84;1975757;2084123;23430827;2029940;23430827;23430827;0;23925174;1653;24615229
1228109;465;464-465;14;1997;0;3150154;1145859;1;0;610184;0;85045;15541;5204;8467;20578;1;285876;0;45509;0;0;69453;526436;256937;21101822;2004295;31;0;29;2;0;1;32;0;0;20;9;1;1;0;0;0;1;21;11;509379;142363;648666;96437,28;0;15156;760259,28;2465097;3349555;17942756;2907326;17942756;17942756;0;19414724;330847;20562273
1228140;465;464-465;4;1991;0;738031;123728;0;0;8400;635;26273;1010;22883;3089;10776;458;2452;320;36342;0;0;11090;200946;77934;2045288;614303;11;3;11;0;0;1;15;1;2;5;6;0;0;0;0;1;0;7;8;198780;46357;245137;27432,44;0;0;272569,44;991267;722814;1352856;857040,5;1352856;1352856;0;1519287;71888;1911338
1228147;4741-4742;474 - 475;4;2007;0;976183,3333;392461,3333;1309;0;23382,33333;134403;83901;3663;15571,66667;9622;8846,333333;3136,333333;27800,66667;60597,66667;5815;0;0;14413,33333;172435,3333;71255,66667;3454900,333;583722;9,333333333;0;9;0;0;0;9;0;0;4;5,333333333;0;0;0;0;0;0;4;5,333333333;172435,3333;37345,66667;209781;29635,33333;0;0;239416,3333;586943;404518,3333;2478717;495730,6667;2478717;2478717;0;2958478,667;54385,33333;3300165
1228156;453;453-454;14;1996;0;1587746;221090;101;378;3800;0;31605;9286;6151;20459;4392;1582;40700;338;68705;0;0;33593;651579;306099;6554327;1366656;25;0;25;0;0;0;25;0;0;3;22;0;0;0;0;0;0;3;22;651579;186801;838380;102099,28;0;0;940479,28;2607169;2423689;4986818;2515429;4986818;4986818;0;5360917;384763;6755443
1228158;465;464-465;14;2006;0;6925972;1923576;0;0;295552;682325;278160;10373;2306;3142;19730;357;397736;40958;37679;0;35818;119440;688481;229485;56439736;5002396;20;0;20;0;0;1;21;0;0;10;10;0;0;0;0;0;1;10;11;676409;111329;787738;100458,32;0;0;888196,32;5859579;9998999;49504852;7929289;49504852;49504852;0;51931721;1411276;54354965
1228162;465;464-465;14;1992;72233;3819389;130970;0;141;33383;0;54898;28534;3301;2730;4221;1615;0;479;739;0;0;929;1013100;579986;21483398;3688419;32;0;32;0;0;0;32;0;0;12;20;0;0;0;0;0;0;12;20;1013100;351582;1364682;175374,24;0;0;1540056,24;1172315;1596200;17582864,05;1384257,5;17582864;17655097;0;18022434;33132;19648652
1228165;453;453-454;4;1997;0;2069458;322573;2474;0;40596;0;28800;26283;147;5599;19084;2965;59031;1484;26444;0;0;109666;463900;188855;6374329;1746885;16;0;16;0;0;0;16;0;0;7;9;0;0;0;0;0;0;7;9;463900;109813;573713;67113,44;0;0;640826,44;1612643;1768894;4298690;1690768,5;4298690;4298690;0;4823979;135038;5633653
1228170;466;466-469;11;2009;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
